r017,r016,r013,instructions,cycles,r004,tegra_total_line
8673018,105030810,1122031923,2322774395,3546488830,1120520606,0,1
9021325,97115759,971118434,2102111498,3290701663,969832372,0,1
9601256,102812767,918564073,1875053744,3320459847,917690445,0,1
14076811,149991040,1723023480,3830160976,5388477398,1721844603,0,1
18912100,179049155,1760746253,3753027939,6090585134,1759057294,0,1
16555292,155913540,1424532462,2962929522,5102987207,1423160325,0,2
15582116,156613976,1322171637,2713872263,4865534142,1320790816,0,2
23535145,172267933,1551713471,3340357000,6089290394,1550493566,0,2
13245778,194284789,1872525399,3972463708,6059803791,1871587487,0,2
18288980,149306151,1473584672,3087695078,5303956058,1472268475,0,2
15363289,165770228,1407577349,2918613084,5063503729,1406438744,0,2
8253034,88032503,877449404,2297526851,3187197260,875889171,0,2
6748389,114193364,969851532,1930899898,3124832291,969170794,18,2
13006394,135792994,1247278106,2679537756,4319128477,1246070623,0,2
13711536,143808055,2026251768,4216502829,5600528522,2024757899,0,2
